DateTime,AddedIPs,RemovedIPs
1577418016,0,1
1577419936,1,1
1577421880,1,0
1577425934,1,0
1577429805,0,1
1577431688,0,1
1577434578,2,2
1577436752,3,0
1577440587,0,2
1577442490,0,2
1577445387,0,2
1577449479,0,1
1577451373,1,1
1577453294,0,1
1577455298,1,1
1577457383,0,1
1577459331,2,0
1577461247,0,1
1577463144,1,2
1577465078,1,3
1577470812,1,0
1577472752,1,0
1577478493,0,1
1577485454,1,0
1577487438,0,1
1577489300,2,1
1577491262,0,1
1577495063,0,1
1577497221,0,3
1577501071,0,1
1577502981,1,0
1577506825,0,1
1577508731,1,1
1577512588,1,1
1577516497,2,0
1577520275,0,2
1577522173,0,1
1577524094,0,1
1577528189,2,0
1577533936,0,1
1577535860,1,0
1577537774,1,1
1577541667,0,1
1577545496,1,2
1577549322,0,1
1577551225,1,1
1577557240,1,1
1577559131,0,1
1577570699,1,1
1577572593,3,0
1577574542,0,2
1577576677,1,0
1577584342,4,0
1577586255,1,0
1577588195,2,1
1577590107,1,0
1577594909,1,1
1577596835,1,0
1577598730,3,0
1577600700,7,1
1577602571,2,2
1577606913,1,0
1577608835,2,0
1577610742,2,0
1577612651,1,1
1577614586,1,1
1577616737,1,0
1577620588,2,0
1577622495,3,2
1577624491,6,0
1577626339,2,0
1577628524,2,0
1577630433,1,0
1577632704,1,2
1577634526,1,0
1577636481,1,0
1577638332,3,1
1577640284,4,0
1577644351,2,1
1577646505,3,0
1577650356,1,0
1577652249,4,0
1577654199,5,0
1577658027,2,0
1577659949,0,3
1577661875,1,0
1577663784,29,1
1577665701,1,0
1577669548,8,1
1577671497,1,1
1577673382,2,1
1577675326,5,2
1577677223,0,1
1577679393,1,0
1577681292,1,1
1577683237,1,1
1577685129,2,2
1577687065,1,4
1577688997,0,2
1577690906,1,0
1577692845,0,1
1577694750,1,3
1577696669,0,2
1577700736,2,1
1577702680,1,1
1577704578,0,1
1577706523,0,1
1577708434,2,4
1577710340,2,5
1577712253,2,4
1577714199,1,1
1577716352,1,2
1577718528,1,1
1577720422,2,1
1577722341,0,1
1577724276,4,2
1577726186,1,5
1577730037,2,1
1577731941,0,3
1577733879,1,1
1577735793,2,0
1577737952,0,6
1577739903,0,1
1577741775,0,3
1577743733,3,0
1577745617,1,1
1577747543,0,1
1577749485,0,31
1577751384,0,1
1577753314,1,0
1577755232,0,8
1577757141,1,2
1577759063,0,1
1577761031,1,3
1577762894,0,1
1577767928,0,1
1577769876,0,1
1577771767,0,3
1577773935,1,2
1577776165,1,0
1577778043,0,1
1577779956,0,1
1577787623,0,2
1577789539,2,1
1577791462,1,0
1577795556,1,5
1577797485,0,1
1577799383,0,2
1577801317,0,2
1577803227,0,1
1577805393,0,2
1577807289,0,1
1577809458,0,1
1577811379,0,4
1577813289,3,0
1577816426,1,1
1577818590,0,1
1577820506,0,2
1577822499,1,1
1577824376,1,0
1577826343,2,0
1577828424,4,1
1577830582,0,3
1577832492,0,1
1577838271,1,0
1577840168,0,1
1577844093,2,1
1577845943,1,0
1577847944,1,1
1577849781,1,0
1577851691,1,0
1577853622,1,0
1577859373,1,1
1577863206,1,1
1577875698,0,1
1577877614,0,1
1577881965,0,1
1577891779,1,0
1577893938,1,0
1577897799,3,0
1577899715,0,3
1577901751,3,0
1577907627,0,1
1577911481,0,3
1577913384,0,1
1577915560,3,2
1577920819,4,0
1577924666,1,1
1577926568,2,0
1577931410,1,1
1577933306,0,2
1577935230,0,1
1577937151,0,1
1577939063,1,1
1577940994,0,1
1577942899,1,0
1577944857,0,1
1577946771,0,1
1577948703,1,0
1577950598,0,1
1577952503,1,0
1577956361,2,0
1577958273,1,0
1577962098,1,0
1577964058,1,0
